dataset,task,n_components,framework,model,encoding,f1_macro_mean,f1_macro_std,accuracy_mean,gram_offdiag_std_mean,n_folds,sweep_start,parent_run_id,is_latest
cic-malmem,multiclass,1,classical,random_forest,,0.12830469957598536,0.035922487204597994,0.128,,5,2026-07-15 18:50:18.507000+00:00,aee277c5d6c94df9a3a51bf5d179fb56,True
cic-malmem,multiclass,1,classical,svm,,0.08166008829118582,0.015436939316563928,0.5,,5,2026-07-14 12:22:26.468000+00:00,7a7daa6e159e49b29e9f22e6cc3681e5,False
cic-malmem,multiclass,1,classical,svm,,0.12447427760093595,0.009396669703074857,0.541,,5,2026-07-14 13:47:49.321000+00:00,186d0beb1b3a41a0bf4342caf5cbafde,False
cic-malmem,multiclass,1,classical,svm,,0.10746862194622038,0.016402887193071983,0.11099999999999999,,5,2026-07-15 19:01:17.079000+00:00,b31eac6d08034c00bc24eb9165928c09,False
cic-malmem,multiclass,1,classical,svm,,0.10746862194622038,0.016402887193071983,0.11099999999999999,,5,2026-07-25 09:24:14.920000+00:00,45c7eb9e85a04e23acfd1125a33849f6,True
cic-malmem,multiclass,1,classical,xgboost,,0.08674556054771071,0.038865500684381986,0.505,,5,2026-07-14 12:20:31.355000+00:00,353a602915644f0bb1832dc1db66c991,False
cic-malmem,multiclass,1,classical,xgboost,,0.12399294289038017,0.01590426081375972,0.5280000000000001,,5,2026-07-14 13:42:29.326000+00:00,e254c1ee9c2144d2be9c551165cbc6a2,False
cic-malmem,multiclass,1,classical,xgboost,,0.10101408832749752,0.016168162220081172,0.10200000000000001,,5,2026-07-15 18:52:14.991000+00:00,02cf4595fd2b4378b50e496b25c582b2,True
cic-malmem,multiclass,2,classical,lightgbm,,0.1479709279908178,0.049825052168223874,0.54,,5,2026-07-14 12:25:17.386000+00:00,c63154681a6c4ab9bccd538e96bb39fa,False
cic-malmem,multiclass,2,classical,lightgbm,,0.18652051268354,0.030657784158825977,0.567,,5,2026-07-14 14:10:29.263000+00:00,605426d5c77e469e840a9c6b608e3120,True
cic-malmem,multiclass,2,quantum,qsvm,joint,0.06632889388104406,0.006302424438488273,0.5,0.23933183767487148,5,2026-07-14 12:22:36.487000+00:00,4a9621709b974eec89f093570b793c28,False
cic-malmem,multiclass,2,quantum,qsvm,joint,0.12230139873518571,0.008163927103164045,0.542,0.11523006572725505,5,2026-07-14 13:48:03.084000+00:00,05d2998d3bda405a8037801815c4cd15,True
cic-malmem,multiclass,2,classical,random_forest,,0.13697878416972661,0.039879526827349084,0.54,,5,2026-07-14 12:23:26.629000+00:00,3a292e86aa424d3da130e0793f51da9f,False
cic-malmem,multiclass,2,classical,random_forest,,0.18515108852508097,0.025441493539266596,0.563,,5,2026-07-14 14:06:08.693000+00:00,0d6bee19457943e6a26a22182d6f253d,True
cic-malmem,multiclass,2,classical,svm,,0.1334767316017316,0.06605179245777931,0.5449999999999999,,5,2026-07-14 12:26:36.040000+00:00,528cd4e40a624a0cbcb6ce1feead4894,False
cic-malmem,multiclass,2,classical,svm,,0.1515649166577374,0.01721813627838436,0.548,,5,2026-07-14 14:21:53.205000+00:00,79cb6ae1bc96466ab0e1b76af7e29d29,True
cic-malmem,multiclass,2,classical,xgboost,,0.10066513419112152,0.03877966558751716,0.5249999999999999,,5,2026-07-14 12:24:28.381000+00:00,1ed126097a3d4c75a0316a97c792e7a8,False
cic-malmem,multiclass,2,classical,xgboost,,0.16157466123618563,0.03151035081256423,0.552,,5,2026-07-14 14:07:41.834000+00:00,fc7a4d3fb05546378d16a4bb50983568,True
cic-malmem,multiclass,3,classical,lightgbm,,0.09396099496709251,0.025980898477524144,0.5050000000000001,,5,2026-07-14 12:30:03.292000+00:00,aa0a58dac9774b36973191c2b4574e7c,False
cic-malmem,multiclass,3,classical,lightgbm,,0.20187278577390363,0.04947235500989252,0.5720000000000001,,5,2026-07-14 14:54:01.125000+00:00,e96d2415ad1a42d2ae399c4bc6b38543,False
cic-malmem,multiclass,3,classical,lightgbm,,0.1185346803402512,0.016436633409909855,0.11400000000000002,,5,2026-07-15 19:41:55.403000+00:00,e98ed0215db04901bd229c1bed0b2746,True
cic-malmem,multiclass,3,quantum,qsvm,angle,0.05846775009588913,0.005706997064299069,0.10300000000000001,0.07947495788908295,5,2026-07-25 08:27:58.215000+00:00,bdcb60b297fd408281b7308a69056b9a,True
cic-malmem,multiclass,3,quantum,qsvm,iqp,0.07068357969607764,0.017647493838518196,0.10999999999999999,0.10048431041761437,5,2026-07-25 08:35:40.985000+00:00,c25edca664374982929e94e46ed36159,True
cic-malmem,multiclass,3,quantum,qsvm,joint,0.0976483383254885,0.05067351054177329,0.52,0.22386079801439718,5,2026-07-14 12:26:45.465000+00:00,46799348df26482e99c2c515075ac639,False
cic-malmem,multiclass,3,quantum,qsvm,joint,0.1242612140346018,0.022624774554255916,0.543,0.11333613812032443,5,2026-07-14 14:22:06.410000+00:00,f28585f51286428b8100e80c70478425,False
cic-malmem,multiclass,3,quantum,qsvm,joint,0.05849303198827214,0.004408220622684793,0.101,0.0952339932902008,5,2026-07-15 19:01:32.032000+00:00,f13276910cf14c8aa9b60b2ef6d339c5,True
