dataset,task,n_components,quantum,classical,qsvm_f1_macro_mean,classical_f1_macro_mean,delta_classical_minus_qsvm,ttest_statistic,ttest_pvalue,wilcoxon_statistic,wilcoxon_pvalue,ttest_significant_at_05
ember-2018,multiclass,1,qsvm-angle,svm,0.1687874423062498,0.5294133321269644,0.3606258898207146,-28.04490547553652,9.61752016688196e-06,0.0,0.0625,True
ember-2018,multiclass,1,qsvm-iqp,random_forest,0.1541059044527347,0.5561907822699944,0.4020848778172597,-19.40499145653997,4.1576445731548326e-05,0.0,0.0625,True
ember-2018,multiclass,1,qsvm-iqp,xgboost,0.1541059044527347,0.5312993318673407,0.377193427414606,-14.988554068892778,0.00011543389154948367,0.0,0.0625,True
ember-2018,multiclass,1,qsvm-iqp,lightgbm,0.1541059044527347,0.5410497296181371,0.38694382516540243,-15.623341967496144,9.80135227075355e-05,0.0,0.0625,True
ember-2018,multiclass,1,qsvm-iqp,svm,0.1541059044527347,0.5294133321269644,0.3753074276742297,-16.69331338262613,7.545048630774943e-05,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-angle,random_forest,0.3907884921141812,0.7194150267875187,0.32862653467333747,-9.80037346976184,0.0006076058073524416,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-angle,xgboost,0.3907884921141812,0.7088932915246975,0.3181047994105163,-9.572866295964369,0.0006653213808376651,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-angle,lightgbm,0.3907884921141812,0.7035166656421288,0.3127281735279476,-9.575686580219188,0.0006645652422574836,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-angle,svm,0.3907884921141812,0.7389146603571525,0.34812616824297127,-12.263372241032009,0.0002539223299456957,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-iqp,random_forest,0.47967988975021375,0.7194150267875187,0.23973513703730492,-13.507129581980632,0.00017385761510991813,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-iqp,xgboost,0.47967988975021375,0.7088932915246975,0.22921340177448374,-11.635793597166224,0.00031180252289985896,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-iqp,lightgbm,0.47967988975021375,0.7035166656421288,0.22383677589191503,-10.327843688547645,0.000495957823077601,0.0,0.0625,True
ember-2018,multiclass,3,qsvm-iqp,svm,0.47967988975021375,0.7389146603571525,0.2592347706069387,-19.213367861739094,4.3244872876700175e-05,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-angle,random_forest,0.4231914469080187,0.790284972037212,0.36709352512919335,-8.427273621969642,0.0010856660517439577,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-angle,xgboost,0.4231914469080187,0.7659059371642711,0.34271449025625245,-7.701441073800704,0.001529536675574938,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-angle,lightgbm,0.4231914469080187,0.7709149311725378,0.34772348426451916,-7.989415812440727,0.0013305795739453892,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-angle,svm,0.4231914469080187,0.7930427412212524,0.3698512943132337,-9.685168418968942,0.0006360192913117662,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-iqp,random_forest,0.5194531423927002,0.790284972037212,0.2708318296445118,-7.278732291778123,0.0018930579860923706,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-iqp,xgboost,0.5194531423927002,0.7659059371642711,0.2464527947715709,-6.317937159616966,0.0032106001177009255,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-iqp,lightgbm,0.5194531423927002,0.7709149311725378,0.2514617887798376,-6.873189966994334,0.0023473979591866843,0.0,0.0625,True
ember-2018,multiclass,6,qsvm-iqp,svm,0.5194531423927002,0.7930427412212524,0.27358959882855216,-8.07664750230005,0.0012767220668440569,0.0,0.0625,True
